('Fold : ', 0)
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
Iter 175, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 176, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 177, Minibatch Loss= 13.665547, Training Accuracy= 0.98667
Iter 178, Minibatch Loss= 9.415222, Training Accuracy= 0.99333
Iter 179, Minibatch Loss= 29.498439, Training Accuracy= 0.99333
Iter 180, Minibatch Loss= 77.206721, Training Accuracy= 0.99333
Iter 181, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 182, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 183, Minibatch Loss= 12.124167, Training Accuracy= 0.99333
Iter 184, Minibatch Loss= 59.989532, Training Accuracy= 0.99333
Iter 185, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 186, Minibatch Loss= 16.148855, Training Accuracy= 0.99333
Iter 187, Minibatch Loss= 19.475859, Training Accuracy= 0.99333
Iter 188, Minibatch Loss= 11.959765, Training Accuracy= 0.99333
Iter 189, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 190, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 191, Minibatch Loss= 16.075312, Training Accuracy= 0.98667
Iter 192, Minibatch Loss= 138.008464, Training Accuracy= 0.99333
Iter 193, Minibatch Loss= 15.522083, Training Accuracy= 0.99333
Iter 194, Minibatch Loss= 86.742032, Training Accuracy= 0.98667
Iter 195, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 196, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 197, Minibatch Loss= 36.957082, Training Accuracy= 0.99333
Iter 198, Minibatch Loss= 63.902242, Training Accuracy= 0.99333
Iter 199, Minibatch Loss= 0.000000, Training Accuracy= 1.00000

Training complete!
Model saved in file: tempModelsCNNFolds/model1.ckpt
('accuracy : ', 0.94999999999999996)
('precision : ', 0.96666666666666679)
('recall : ', 0.94999999999999996)
('f1 : ', 0.94666666666666666)


('Fold : ', 2)
Iter 0, Minibatch Loss= 122352.906250, Training Accuracy= 0.16667
Iter 1, Minibatch Loss= 88050.593750, Training Accuracy= 0.20667
Iter 2, Minibatch Loss= 87690.388021, Training Accuracy= 0.26667
Iter 3, Minibatch Loss= 42125.218750, Training Accuracy= 0.38667
Iter 4, Minibatch Loss= 40701.029948, Training Accuracy= 0.42000
Iter 5, Minibatch Loss= 48951.397135, Training Accuracy= 0.36667
Iter 6, Minibatch Loss= 36753.500000, Training Accuracy= 0.40000
Iter 7, Minibatch Loss= 36903.850260, Training Accuracy= 0.36000
Iter 8, Minibatch Loss= 28323.388672, Training Accuracy= 0.45333
Iter 9, Minibatch Loss= 21244.588542, Training Accuracy= 0.52667
Iter 10, Minibatch Loss= 24784.889323, Training Accuracy= 0.52000
Iter 11, Minibatch Loss= 19794.881185, Training Accuracy= 0.56667
Iter 12, Minibatch Loss= 17700.734049, Training Accuracy= 0.60667
Iter 13, Minibatch Loss= 15788.568034, Training Accuracy= 0.58000
Iter 14, Minibatch Loss= 14322.597656, Training Accuracy= 0.62000
Iter 15, Minibatch Loss= 14582.122070, Training Accuracy= 0.63333
Iter 16, Minibatch Loss= 7669.930990, Training Accuracy= 0.77333
Iter 17, Minibatch Loss= 12533.968424, Training Accuracy= 0.62000
Iter 18, Minibatch Loss= 10013.054036, Training Accuracy= 0.72000
Iter 19, Minibatch Loss= 7345.554362, Training Accuracy= 0.72000
Iter 20, Minibatch Loss= 6748.006022, Training Accuracy= 0.76667
Iter 21, Minibatch Loss= 5264.792480, Training Accuracy= 0.78667
Iter 22, Minibatch Loss= 10259.252930, Training Accuracy= 0.70000
Iter 23, Minibatch Loss= 6087.280436, Training Accuracy= 0.77333
Iter 24, Minibatch Loss= 5149.109863, Training Accuracy= 0.82000
Iter 25, Minibatch Loss= 6305.121989, Training Accuracy= 0.79333
Iter 26, Minibatch Loss= 6291.256185, Training Accuracy= 0.80667
Iter 27, Minibatch Loss= 4320.602051, Training Accuracy= 0.82000
Iter 28, Minibatch Loss= 4997.842367, Training Accuracy= 0.82000
Iter 29, Minibatch Loss= 4688.903361, Training Accuracy= 0.83333
Iter 30, Minibatch Loss= 4092.837199, Training Accuracy= 0.82667
Iter 31, Minibatch Loss= 4488.184489, Training Accuracy= 0.82000
Iter 32, Minibatch Loss= 2394.210327, Training Accuracy= 0.87333
Iter 33, Minibatch Loss= 3106.917155, Training Accuracy= 0.85333
Iter 34, Minibatch Loss= 1812.278971, Training Accuracy= 0.92000
Iter 35, Minibatch Loss= 3343.642863, Training Accuracy= 0.86000
Iter 36, Minibatch Loss= 1717.808431, Training Accuracy= 0.92667
Iter 37, Minibatch Loss= 2262.170329, Training Accuracy= 0.91333
Iter 38, Minibatch Loss= 1258.443197, Training Accuracy= 0.92000
Iter 39, Minibatch Loss= 2550.833252, Training Accuracy= 0.89333
Iter 40, Minibatch Loss= 2614.661743, Training Accuracy= 0.86000
Iter 41, Minibatch Loss= 1980.822795, Training Accuracy= 0.90000
Iter 42, Minibatch Loss= 1347.009766, Training Accuracy= 0.90667
Iter 43, Minibatch Loss= 1363.168722, Training Accuracy= 0.92000
Iter 44, Minibatch Loss= 2244.389201, Training Accuracy= 0.88000
Iter 45, Minibatch Loss= 1176.797729, Training Accuracy= 0.92667
Iter 46, Minibatch Loss= 1808.896973, Training Accuracy= 0.91333
Iter 47, Minibatch Loss= 1376.029989, Training Accuracy= 0.92667
Iter 48, Minibatch Loss= 1057.420939, Training Accuracy= 0.93333
Iter 49, Minibatch Loss= 1175.850891, Training Accuracy= 0.93333
Iter 50, Minibatch Loss= 171.687869, Training Accuracy= 0.98667
Iter 51, Minibatch Loss= 266.272990, Training Accuracy= 0.97333
Iter 52, Minibatch Loss= 356.455582, Training Accuracy= 0.96667
Iter 53, Minibatch Loss= 670.220299, Training Accuracy= 0.94667
Iter 54, Minibatch Loss= 1179.813904, Training Accuracy= 0.90667
Iter 55, Minibatch Loss= 849.566610, Training Accuracy= 0.95333
Iter 56, Minibatch Loss= 1031.249023, Training Accuracy= 0.93333
Iter 57, Minibatch Loss= 705.038249, Training Accuracy= 0.97333
Iter 58, Minibatch Loss= 1079.267904, Training Accuracy= 0.92667
Iter 59, Minibatch Loss= 17.690557, Training Accuracy= 0.99333
Iter 60, Minibatch Loss= 230.670676, Training Accuracy= 0.97333
Iter 61, Minibatch Loss= 637.586426, Training Accuracy= 0.96667
Iter 62, Minibatch Loss= 470.511770, Training Accuracy= 0.94667
Iter 63, Minibatch Loss= 262.089448, Training Accuracy= 0.97333
Iter 64, Minibatch Loss= 549.003652, Training Accuracy= 0.97333
Iter 65, Minibatch Loss= 754.858582, Training Accuracy= 0.94667
Iter 66, Minibatch Loss= 767.512085, Training Accuracy= 0.95333
Iter 67, Minibatch Loss= 199.265635, Training Accuracy= 0.96000
Iter 68, Minibatch Loss= 458.636169, Training Accuracy= 0.97333
Iter 69, Minibatch Loss= 763.442627, Training Accuracy= 0.95333
Iter 70, Minibatch Loss= 134.185572, Training Accuracy= 0.98000
Iter 71, Minibatch Loss= 150.821645, Training Accuracy= 0.98667
Iter 72, Minibatch Loss= 543.825602, Training Accuracy= 0.97333
Iter 73, Minibatch Loss= 427.585866, Training Accuracy= 0.98000
Iter 74, Minibatch Loss= 927.526449, Training Accuracy= 0.95333
Iter 75, Minibatch Loss= 171.263550, Training Accuracy= 0.98667
Iter 76, Minibatch Loss= 532.467397, Training Accuracy= 0.96667
Iter 77, Minibatch Loss= 224.280518, Training Accuracy= 0.98667
Iter 78, Minibatch Loss= 659.352832, Training Accuracy= 0.96667
Iter 79, Minibatch Loss= 17.173854, Training Accuracy= 0.99333
Iter 80, Minibatch Loss= 139.821498, Training Accuracy= 0.98667
Iter 81, Minibatch Loss= 312.668723, Training Accuracy= 0.98667
Iter 82, Minibatch Loss= 548.755870, Training Accuracy= 0.95333
Iter 83, Minibatch Loss= 334.988093, Training Accuracy= 0.98000
Iter 84, Minibatch Loss= 54.979050, Training Accuracy= 0.98667
Iter 85, Minibatch Loss= 68.644989, Training Accuracy= 0.98667
Iter 86, Minibatch Loss= 225.434001, Training Accuracy= 0.99333
Iter 87, Minibatch Loss= 201.239995, Training Accuracy= 0.96667
Iter 88, Minibatch Loss= 117.816225, Training Accuracy= 0.98000
Iter 89, Minibatch Loss= 332.640053, Training Accuracy= 0.96667
Iter 90, Minibatch Loss= 101.313629, Training Accuracy= 0.99333
Iter 91, Minibatch Loss= 543.391314, Training Accuracy= 0.96000
Iter 92, Minibatch Loss= 393.255981, Training Accuracy= 0.97333
Iter 93, Minibatch Loss= 33.706601, Training Accuracy= 0.99333
Iter 94, Minibatch Loss= 98.524841, Training Accuracy= 0.98667
Iter 95, Minibatch Loss= 366.703491, Training Accuracy= 0.98000
Iter 96, Minibatch Loss= 169.779144, Training Accuracy= 0.98667
Iter 97, Minibatch Loss= 85.119374, Training Accuracy= 0.98667
Iter 98, Minibatch Loss= 1001.049118, Training Accuracy= 0.92667
Iter 99, Minibatch Loss= 200.794367, Training Accuracy= 0.98000
Iter 100, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 101, Minibatch Loss= 127.896281, Training Accuracy= 0.99333
Iter 102, Minibatch Loss= 86.374297, Training Accuracy= 0.98000
Iter 103, Minibatch Loss= 165.437472, Training Accuracy= 0.98000
Iter 104, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 105, Minibatch Loss= 136.140212, Training Accuracy= 0.98000
Iter 106, Minibatch Loss= 5.746719, Training Accuracy= 0.99333
Iter 107, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 108, Minibatch Loss= 97.740885, Training Accuracy= 0.99333
Iter 109, Minibatch Loss= 100.164246, Training Accuracy= 0.99333
Iter 110, Minibatch Loss= 184.744517, Training Accuracy= 0.98667
Iter 111, Minibatch Loss= 89.842367, Training Accuracy= 0.99333
Iter 112, Minibatch Loss= 243.897298, Training Accuracy= 0.99333
Iter 113, Minibatch Loss= 254.996399, Training Accuracy= 0.98667
Iter 114, Minibatch Loss= 15.556666, Training Accuracy= 0.99333
Iter 115, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 116, Minibatch Loss= 41.529531, Training Accuracy= 0.99333
Iter 117, Minibatch Loss= 52.927864, Training Accuracy= 0.98000
Iter 118, Minibatch Loss= 111.096903, Training Accuracy= 0.99333
Iter 119, Minibatch Loss= 101.159218, Training Accuracy= 0.98667
Iter 120, Minibatch Loss= 66.228073, Training Accuracy= 0.99333
Iter 121, Minibatch Loss= 28.707240, Training Accuracy= 0.99333
Iter 122, Minibatch Loss= 6.123515, Training Accuracy= 0.99333
Iter 123, Minibatch Loss= 25.681160, Training Accuracy= 0.99333
Iter 124, Minibatch Loss= 184.942525, Training Accuracy= 0.98667
Iter 125, Minibatch Loss= 281.248332, Training Accuracy= 0.98667
Iter 126, Minibatch Loss= 3.690261, Training Accuracy= 0.99333
Iter 127, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 128, Minibatch Loss= 50.550912, Training Accuracy= 0.98667
Iter 129, Minibatch Loss= 59.938075, Training Accuracy= 0.99333
Iter 130, Minibatch Loss= 192.047709, Training Accuracy= 0.98667
Iter 131, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 132, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 133, Minibatch Loss= 46.810781, Training Accuracy= 0.99333
Iter 134, Minibatch Loss= 182.415670, Training Accuracy= 0.98667
Iter 135, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 136, Minibatch Loss= 53.037188, Training Accuracy= 0.98667
Iter 137, Minibatch Loss= 81.762029, Training Accuracy= 0.99333
Iter 138, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 139, Minibatch Loss= 8.782031, Training Accuracy= 0.99333
Iter 140, Minibatch Loss= 69.910858, Training Accuracy= 0.99333
Iter 141, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 142, Minibatch Loss= 17.352266, Training Accuracy= 0.99333
Iter 143, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 144, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 145, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 146, Minibatch Loss= 244.191742, Training Accuracy= 0.98667
Iter 147, Minibatch Loss= 82.989482, Training Accuracy= 0.98667
Iter 148, Minibatch Loss= 18.452916, Training Accuracy= 0.99333
Iter 149, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 150, Minibatch Loss= 2.631393, Training Accuracy= 0.99333
Iter 151, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 152, Minibatch Loss= 54.468997, Training Accuracy= 0.98667
Iter 153, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 154, Minibatch Loss= 54.660940, Training Accuracy= 0.99333
Iter 155, Minibatch Loss= 93.980408, Training Accuracy= 0.99333
Iter 156, Minibatch Loss= 128.148356, Training Accuracy= 0.99333
Iter 157, Minibatch Loss= 30.629153, Training Accuracy= 0.99333
Iter 158, Minibatch Loss= 124.832998, Training Accuracy= 0.99333
Iter 159, Minibatch Loss= 320.838628, Training Accuracy= 0.98000
Iter 160, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 161, Minibatch Loss= 24.276042, Training Accuracy= 0.99333
Iter 162, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 163, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 164, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 165, Minibatch Loss= 181.911746, Training Accuracy= 0.98667
Iter 166, Minibatch Loss= 13.883776, Training Accuracy= 0.98667
Iter 167, Minibatch Loss= 5.546511, Training Accuracy= 0.99333
Iter 168, Minibatch Loss= 22.501745, Training Accuracy= 0.99333
Iter 169, Minibatch Loss= 3.425781, Training Accuracy= 0.99333
Iter 170, Minibatch Loss= 14.132448, Training Accuracy= 0.99333
Iter 171, Minibatch Loss= 13.052605, Training Accuracy= 0.99333
Iter 172, Minibatch Loss= 9.943802, Training Accuracy= 0.99333
Iter 173, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 174, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 175, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 176, Minibatch Loss= 108.206411, Training Accuracy= 0.99333
Iter 177, Minibatch Loss= 121.174683, Training Accuracy= 0.99333
Iter 178, Minibatch Loss= 94.650184, Training Accuracy= 0.98667
Iter 179, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 180, Minibatch Loss= 105.265778, Training Accuracy= 0.99333
Iter 181, Minibatch Loss= 44.084662, Training Accuracy= 0.98667
Iter 182, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 183, Minibatch Loss= 110.701375, Training Accuracy= 0.99333
Iter 184, Minibatch Loss= 198.700254, Training Accuracy= 0.98000
Iter 185, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 186, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 187, Minibatch Loss= 54.619296, Training Accuracy= 0.98000
Iter 188, Minibatch Loss= 155.206975, Training Accuracy= 0.98000
Iter 189, Minibatch Loss= 12.673411, Training Accuracy= 0.99333
Iter 190, Minibatch Loss= 1.723594, Training Accuracy= 0.99333
Iter 191, Minibatch Loss= 70.064585, Training Accuracy= 0.99333
Iter 192, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 193, Minibatch Loss= 429.631551, Training Accuracy= 0.95333
Iter 194, Minibatch Loss= 162.599477, Training Accuracy= 0.99333
Iter 195, Minibatch Loss= 108.468689, Training Accuracy= 0.98667
Iter 196, Minibatch Loss= 254.638461, Training Accuracy= 0.97333
Iter 197, Minibatch Loss= 49.856796, Training Accuracy= 0.99333
Iter 198, Minibatch Loss= 160.863698, Training Accuracy= 0.99333
Iter 199, Minibatch Loss= 15.352552, Training Accuracy= 0.99333

Training complete!
Model saved in file: tempModelsCNNFolds/model2.ckpt
('accuracy : ', 0.94999999999999996)
('precision : ', 0.95833333333333337)
('recall : ', 0.94999999999999996)
('f1 : ', 0.94393939393939397)


('Fold : ', 3)
Iter 0, Minibatch Loss= 139590.799479, Training Accuracy= 0.19333
Iter 1, Minibatch Loss= 138334.820312, Training Accuracy= 0.19333
Iter 2, Minibatch Loss= 116076.395833, Training Accuracy= 0.18000
Iter 3, Minibatch Loss= 100104.169271, Training Accuracy= 0.22667
Iter 4, Minibatch Loss= 72710.236979, Training Accuracy= 0.34000
Iter 5, Minibatch Loss= 69965.242188, Training Accuracy= 0.31333
Iter 6, Minibatch Loss= 66517.919271, Training Accuracy= 0.32667
Iter 7, Minibatch Loss= 56375.029948, Training Accuracy= 0.40000
Iter 8, Minibatch Loss= 62661.666667, Training Accuracy= 0.30667
Iter 9, Minibatch Loss= 51616.548177, Training Accuracy= 0.36667
Iter 10, Minibatch Loss= 53872.367188, Training Accuracy= 0.39333
Iter 11, Minibatch Loss= 42687.427734, Training Accuracy= 0.38667
Iter 12, Minibatch Loss= 42002.174479, Training Accuracy= 0.44000
Iter 13, Minibatch Loss= 34151.570964, Training Accuracy= 0.55333
Iter 14, Minibatch Loss= 28835.136719, Training Accuracy= 0.56000
Iter 15, Minibatch Loss= 28947.923177, Training Accuracy= 0.51333
Iter 16, Minibatch Loss= 29061.282552, Training Accuracy= 0.50667
Iter 17, Minibatch Loss= 23888.757812, Training Accuracy= 0.58000
Iter 18, Minibatch Loss= 29475.269531, Training Accuracy= 0.50000
Iter 19, Minibatch Loss= 19777.951823, Training Accuracy= 0.64667
Iter 20, Minibatch Loss= 23216.212891, Training Accuracy= 0.52667
Iter 21, Minibatch Loss= 22910.815104, Training Accuracy= 0.58000
Iter 22, Minibatch Loss= 14333.508464, Training Accuracy= 0.68000
Iter 23, Minibatch Loss= 16530.518880, Training Accuracy= 0.64000
Iter 24, Minibatch Loss= 10255.559733, Training Accuracy= 0.72000
Iter 25, Minibatch Loss= 12373.190755, Training Accuracy= 0.69333
Iter 26, Minibatch Loss= 9916.090332, Training Accuracy= 0.67333
Iter 27, Minibatch Loss= 8801.790365, Training Accuracy= 0.73333
Iter 28, Minibatch Loss= 6624.541829, Training Accuracy= 0.76667
Iter 29, Minibatch Loss= 7798.240885, Training Accuracy= 0.80000
Iter 30, Minibatch Loss= 8323.465820, Training Accuracy= 0.72667
Iter 31, Minibatch Loss= 7256.384603, Training Accuracy= 0.78667
Iter 32, Minibatch Loss= 7807.055339, Training Accuracy= 0.78667
Iter 33, Minibatch Loss= 8474.766439, Training Accuracy= 0.75333
Iter 34, Minibatch Loss= 5288.501465, Training Accuracy= 0.81333
Iter 35, Minibatch Loss= 6033.250488, Training Accuracy= 0.80667
Iter 36, Minibatch Loss= 6953.807129, Training Accuracy= 0.77333
Iter 37, Minibatch Loss= 4800.759115, Training Accuracy= 0.82000
Iter 38, Minibatch Loss= 4641.378418, Training Accuracy= 0.82667
Iter 39, Minibatch Loss= 5617.962891, Training Accuracy= 0.78667
Iter 40, Minibatch Loss= 4585.407145, Training Accuracy= 0.80667
Iter 41, Minibatch Loss= 5288.585612, Training Accuracy= 0.82000
Iter 42, Minibatch Loss= 4542.154215, Training Accuracy= 0.81333
Iter 43, Minibatch Loss= 4220.129557, Training Accuracy= 0.82667
Iter 44, Minibatch Loss= 3021.774170, Training Accuracy= 0.88667
Iter 45, Minibatch Loss= 3325.515706, Training Accuracy= 0.82000
Iter 46, Minibatch Loss= 2640.069010, Training Accuracy= 0.88667
Iter 47, Minibatch Loss= 2343.039022, Training Accuracy= 0.84667
Iter 48, Minibatch Loss= 2596.083944, Training Accuracy= 0.88667
Iter 49, Minibatch Loss= 1464.324972, Training Accuracy= 0.89333
Iter 50, Minibatch Loss= 1525.785573, Training Accuracy= 0.92000
Iter 51, Minibatch Loss= 719.534302, Training Accuracy= 0.94000
Iter 52, Minibatch Loss= 577.329625, Training Accuracy= 0.96667
Iter 53, Minibatch Loss= 974.734324, Training Accuracy= 0.92667
Iter 54, Minibatch Loss= 976.651917, Training Accuracy= 0.91333
Iter 55, Minibatch Loss= 616.873942, Training Accuracy= 0.96667
Iter 56, Minibatch Loss= 968.094899, Training Accuracy= 0.94667
Iter 57, Minibatch Loss= 2001.819865, Training Accuracy= 0.90667
Iter 58, Minibatch Loss= 476.110308, Training Accuracy= 0.95333
Iter 59, Minibatch Loss= 1089.731567, Training Accuracy= 0.92667
Iter 60, Minibatch Loss= 2749.181681, Training Accuracy= 0.88000
Iter 61, Minibatch Loss= 799.374355, Training Accuracy= 0.93333
Iter 62, Minibatch Loss= 1296.115458, Training Accuracy= 0.92667
Iter 63, Minibatch Loss= 673.816597, Training Accuracy= 0.94000
Iter 64, Minibatch Loss= 1009.290771, Training Accuracy= 0.94000
Iter 65, Minibatch Loss= 420.491842, Training Accuracy= 0.96667
Iter 66, Minibatch Loss= 715.381042, Training Accuracy= 0.94667
Iter 67, Minibatch Loss= 151.035645, Training Accuracy= 0.98000
Iter 68, Minibatch Loss= 889.559713, Training Accuracy= 0.93333
Iter 69, Minibatch Loss= 1068.975118, Training Accuracy= 0.93333
Iter 70, Minibatch Loss= 652.017863, Training Accuracy= 0.94000
Iter 71, Minibatch Loss= 345.990448, Training Accuracy= 0.97333
Iter 72, Minibatch Loss= 235.012884, Training Accuracy= 0.97333
Iter 73, Minibatch Loss= 651.538896, Training Accuracy= 0.94667
Iter 74, Minibatch Loss= 76.103099, Training Accuracy= 0.98667
Iter 75, Minibatch Loss= 703.509979, Training Accuracy= 0.92667
Iter 76, Minibatch Loss= 411.834198, Training Accuracy= 0.96667
Iter 77, Minibatch Loss= 531.677602, Training Accuracy= 0.98000
Iter 78, Minibatch Loss= 1368.295064, Training Accuracy= 0.91333
Iter 79, Minibatch Loss= 281.124318, Training Accuracy= 0.96000
Iter 80, Minibatch Loss= 1110.365377, Training Accuracy= 0.94667
Iter 81, Minibatch Loss= 387.727758, Training Accuracy= 0.96667
Iter 82, Minibatch Loss= 44.256261, Training Accuracy= 0.99333
Iter 83, Minibatch Loss= 948.211772, Training Accuracy= 0.93333
Iter 84, Minibatch Loss= 571.488312, Training Accuracy= 0.94667
Iter 85, Minibatch Loss= 767.051005, Training Accuracy= 0.95333
Iter 86, Minibatch Loss= 841.983983, Training Accuracy= 0.91333
Iter 87, Minibatch Loss= 731.856791, Training Accuracy= 0.95333
Iter 88, Minibatch Loss= 98.071045, Training Accuracy= 0.99333
Iter 89, Minibatch Loss= 803.033813, Training Accuracy= 0.95333
Iter 90, Minibatch Loss= 86.022003, Training Accuracy= 0.98000
Iter 91, Minibatch Loss= 56.709061, Training Accuracy= 0.99333
Iter 92, Minibatch Loss= 46.307266, Training Accuracy= 0.98667
Iter 93, Minibatch Loss= 46.997554, Training Accuracy= 0.99333
Iter 94, Minibatch Loss= 410.722193, Training Accuracy= 0.96667
Iter 95, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 96, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 97, Minibatch Loss= 179.537923, Training Accuracy= 0.98667
Iter 98, Minibatch Loss= 277.289678, Training Accuracy= 0.96000
Iter 99, Minibatch Loss= 168.028046, Training Accuracy= 0.98667
Iter 100, Minibatch Loss= 358.343018, Training Accuracy= 0.96667
Iter 101, Minibatch Loss= 20.094791, Training Accuracy= 0.98667
Iter 102, Minibatch Loss= 166.495900, Training Accuracy= 0.98000
Iter 103, Minibatch Loss= 93.126923, Training Accuracy= 0.99333
Iter 104, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 105, Minibatch Loss= 71.034403, Training Accuracy= 0.99333
Iter 106, Minibatch Loss= 256.899577, Training Accuracy= 0.98667
Iter 107, Minibatch Loss= 114.105092, Training Accuracy= 0.97333
Iter 108, Minibatch Loss= 5.620729, Training Accuracy= 0.99333
Iter 109, Minibatch Loss= 269.980611, Training Accuracy= 0.97333
Iter 110, Minibatch Loss= 267.327077, Training Accuracy= 0.98000
Iter 111, Minibatch Loss= 38.759895, Training Accuracy= 0.98667
Iter 112, Minibatch Loss= 58.943436, Training Accuracy= 0.98667
Iter 113, Minibatch Loss= 19.281979, Training Accuracy= 0.99333
Iter 114, Minibatch Loss= 91.347422, Training Accuracy= 0.98000
Iter 115, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 116, Minibatch Loss= 135.235014, Training Accuracy= 0.97333
Iter 117, Minibatch Loss= 156.551223, Training Accuracy= 0.97333
Iter 118, Minibatch Loss= 63.155548, Training Accuracy= 0.99333
Iter 119, Minibatch Loss= 216.760297, Training Accuracy= 0.96667
Iter 120, Minibatch Loss= 101.769430, Training Accuracy= 0.98667
Iter 121, Minibatch Loss= 309.517273, Training Accuracy= 0.98667
Iter 122, Minibatch Loss= 55.154531, Training Accuracy= 0.99333
Iter 123, Minibatch Loss= 1.886198, Training Accuracy= 0.99333
Iter 124, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 125, Minibatch Loss= 290.990672, Training Accuracy= 0.98000
Iter 126, Minibatch Loss= 324.740100, Training Accuracy= 0.98667
Iter 127, Minibatch Loss= 60.206721, Training Accuracy= 0.99333
Iter 128, Minibatch Loss= 34.126368, Training Accuracy= 0.99333
Iter 129, Minibatch Loss= 66.839662, Training Accuracy= 0.98000
Iter 130, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 131, Minibatch Loss= 172.220907, Training Accuracy= 0.96667
Iter 132, Minibatch Loss= 159.906606, Training Accuracy= 0.98000
Iter 133, Minibatch Loss= 145.089869, Training Accuracy= 0.98000
Iter 134, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 135, Minibatch Loss= 66.906965, Training Accuracy= 0.98000
Iter 136, Minibatch Loss= 69.195429, Training Accuracy= 0.99333
Iter 137, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 138, Minibatch Loss= 18.779792, Training Accuracy= 0.99333
Iter 139, Minibatch Loss= 81.439219, Training Accuracy= 0.99333
Iter 140, Minibatch Loss= 28.672942, Training Accuracy= 0.98667
Iter 141, Minibatch Loss= 90.680627, Training Accuracy= 0.98000
Iter 142, Minibatch Loss= 312.192525, Training Accuracy= 0.98667
Iter 143, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 144, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 145, Minibatch Loss= 20.302513, Training Accuracy= 0.98667
Iter 146, Minibatch Loss= 19.929479, Training Accuracy= 0.99333
Iter 147, Minibatch Loss= 24.149272, Training Accuracy= 0.99333
Iter 148, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 149, Minibatch Loss= 280.286001, Training Accuracy= 0.96667
Iter 150, Minibatch Loss= 110.571096, Training Accuracy= 0.99333
Iter 151, Minibatch Loss= 60.356406, Training Accuracy= 0.98667
Iter 152, Minibatch Loss= 29.922370, Training Accuracy= 0.98667
Iter 153, Minibatch Loss= 113.918772, Training Accuracy= 0.98667
Iter 154, Minibatch Loss= 6.813555, Training Accuracy= 0.99333
Iter 155, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 156, Minibatch Loss= 209.944417, Training Accuracy= 0.98667
Iter 157, Minibatch Loss= 155.058650, Training Accuracy= 0.98000
